"Team1","Team2","Team1.Win.Probability"
"Michigan","Kansas State",0.7494
"Arizona State","Texas Tech",0.7424
"East Carolina","Ohio",0.7196
"Boise State","Oregon State",0.6944
"Arizona","Boston College",0.6882
"Marshall","Maryland",0.6528
"Mississippi","Georgia Tech",0.6374
"Florida State","Auburn",0.6346
"Nebraska","Georgia",0.6084
"Tulane","Louisiana-Lafayette",0.583
"Stanford","Michigan State",0.5662
"Pittsburgh","Bowling Green",0.5622
"BYU","Washington",0.536
"Wisconsin","South Carolina",0.5154
"Cincinnati","North Carolina",0.4876
"Vanderbilt","Houston",0.482
"Oregon","Texas",0.4648
"Washington State","Colorado State",0.4616
"Arkansas State","Ball State",0.4614
"Fresno State","USC",0.454
"Buffalo","San Diego State",0.454
"Rice","Mississippi State",0.4476
"UNLV","North Texas",0.4266
"Virginia Tech","UCLA",0.4192
"Rutgers","Notre Dame",0.3838
"Utah State","Northern Illinois",0.3818
"Oklahoma State","Missouri",0.3568
"Syracuse","Minnesota",0.349
"Iowa","LSU",0.3232
"Duke","Texas A&M",0.262
"Middle Tennessee","Navy",0.2488
"Miami (Florida)","Louisville",0.1886
"Clemson","Ohio State",0.1784
"Oklahoma","Alabama",0.1442
